Scenarios,Performance,No control,Standalone MPC,Standalone DRL,HF MPC,MPC-DRL framework
Scenario 1,Total time spent [veh·h],1428.3993945004736,1428.2115947112493,1377.411234922994,1397.9289900881915,1405.264005176638
,Total waiting time [veh·h],340.9618648522187,341.8570813995183,321.99068096219077,316.5757829676812,350.89764104805374
,Minimum speed [km/h],12.625367120658488,12.734246933150065,12.148370735943203,13.669512141393744,13.28152219366549
,Constraint violation [%],155.22788574819677,144.77529420849868,50.05997158112588,98.31768986279879,36.08397020149565
,Mean computation time [s],-,0.3415519549880022,0.0019151680086118479,2.585265890011021,0.44449853700119996
,Max computation time [s],-,2.692466799984686,0.004469600040465593,22.9575974997133,6.26638090016786
Scenario 2,Total time spent [veh·h],1425.5824556648063,1426.431903106642,1376.234416470831,1395.6303623732324,1419.3078651364465
,Total waiting time [veh·h],338.30268996306097,339.56067324878495,313.60857604526717,314.47610491159014,333.83083217557567
,Minimum speed [km/h],12.61067465281083,12.849616976945693,12.11020140345624,13.819734770231344,14.519575940980934
,Constraint violation [%],152.95644378742242,143.4843370196998,45.146138216739736,97.2671137531581,28.63778951449253
,Mean computation time [s],-,0.36645334666866497,0.0018641583477923024,2.5755377966611803,0.5090972929944595
,Max computation time [s],-,5.559126000152901,0.0029342997586354613,31.558294200105593,9.76877829967998
Scenario 3,Total time spent [veh·h],1422.8591007391758,1421.540952519608,1415.0942744839554,1393.2742874168562,1418.2356134090678
,Total waiting time [veh·h],335.75481481566965,336.4084605418258,339.44526873117815,312.26180626724005,335.502605834583
,Minimum speed [km/h],12.597931271942517,12.777218301790992,12.17260789754901,13.645447598458713,12.519944480553082
,Constraint violation [%],150.86861619680877,139.7934326752714,121.39215110665234,98.10874540479574,56.49219367719174
,Mean computation time [s],-,0.3967676466800428,0.002097329341728861,2.6727112089990017,0.42671156400543014
,Max computation time [s],-,3.8894657001364976,0.0035083999391645193,23.738083099829964,3.0376639999449253
Scenario 4,Total time spent [veh·h],1320.3538511525512,1308.2834206547845,1321.8518278937222,1273.6372974821024,1319.2662525668375
,Total waiting time [veh·h],228.70165522253575,222.32536753228433,247.66236528889817,197.1428913760255,331.0175401843573
,Minimum speed [km/h],15.20414218262987,15.127419682849112,20.850737147657195,15.917033480818693,22.413075466515544
,Constraint violation [%],28.902957961266235,14.436443967907413,13.84092889083821,0.0,244.16122053379414
,Mean computation time [s],-,0.4597481709982579,0.0022616240044590085,3.1788623653484196,0.6666491103393493
,Max computation time [s],-,8.12105170020368,0.0036375001072883606,23.729773099999875,8.878966400166973
Scenario 5,Total time spent [veh·h],1317.7362678710404,1305.0497576434482,1306.0689257662912,1269.0966448051622,1316.9326807484176
,Total waiting time [veh·h],226.30730852246182,219.20321344324898,213.7387880164319,193.8014807091526,227.08060694902716
,Minimum speed [km/h],15.204123766205754,15.105910900853985,15.204127452796717,15.914298814874044,15.333472197928899
,Constraint violation [%],27.651720371892406,13.413660533516268,20.071484263873096,0.0,27.05439200280181
,Mean computation time [s],-,0.4143428496771958,0.002274764998195072,3.2724059283236664,0.47930074367439374
,Max computation time [s],-,3.9857244001468644,0.003226199885830283,30.01388689992018,7.685144000221044
Scenario 6,Total time spent [veh·h],1315.190928069717,1305.3069809908827,1326.0054633341863,1267.7081692505328,1315.2488404464104
,Total waiting time [veh·h],224.00768323750975,219.34218753508964,258.10612658630964,191.72795306702068,224.77596110057985
,Minimum speed [km/h],15.194785881128258,14.852577289646149,17.00190131364524,15.97344552370237,16.61243218884382
,Constraint violation [%],26.739595816674615,13.621509160619734,100.4167093940699,0.0,13.30652537131797
,Mean computation time [s],-,0.4612485166887442,0.00221584999972644,3.2671304453820147,0.48089736767889313
,Max computation time [s],-,7.846322299796157,0.003139600157737732,30.390621499507688,8.338658999884501
