Scenarios,Performance,No control,Standalone MPC,Standalone DRL,HF MPC,MPC-DRL framework
Scenario 1,Total time spent [veh·h],1428.3993945004736,1428.2115947112493,1390.0698910512742,1397.9289900881915,1417.9985420527396
,Total waiting time [veh·h],340.9618648522187,341.8570813995183,327.53088271221145,316.5757829676812,350.1825627980646
,Minimum speed [km/h],12.625367120658488,12.734246933150065,12.122282031982493,13.669512141393744,12.526951811006812
,Constraint violation [%],155.22788574819677,144.77529420849868,40.489642244693826,98.31768986279879,29.718928629836796
,Mean computation time [s],-,0.39936023233341983,0.0022012536685603367,2.9474510316531335,0.5077437226497568
,Max computation time [s],-,3.0179026998812333,0.003153700032271445,26.15824449970387,5.091285099973902
Scenario 2,Total time spent [veh·h],1425.5824556648063,1426.431903106642,1394.1004283170864,1395.6303623732324,1418.735758463344
,Total waiting time [veh·h],338.30268996306097,339.56067324878495,322.2860659672094,314.47610491159014,329.62946240495944
,Minimum speed [km/h],12.61067465281083,12.849616976945693,12.29541015241892,13.819734770231344,16.939390343569713
,Constraint violation [%],152.95644378742242,143.4843370196998,54.42733717970943,97.2671137531581,33.67204348320729
,Mean computation time [s],-,0.4240536006675878,0.0021988076697258907,2.9843576866485337,0.5339141573403807
,Max computation time [s],-,6.865977900335565,0.0033868998289108276,36.47159419988748,7.588509800261818
Scenario 3,Total time spent [veh·h],1422.8591007391758,1421.540952519608,1410.5962614542855,1393.2742874168562,1410.2852460123697
,Total waiting time [veh·h],335.75481481566965,336.4084605418258,325.8776567531573,312.26180626724005,337.22290640417503
,Minimum speed [km/h],12.597931271942517,12.777218301790992,12.166311232739893,13.645447598458713,12.460139027313865
,Constraint violation [%],150.86861619680877,139.7934326752714,49.04224737175708,98.10874540479574,53.418150548673076
,Mean computation time [s],-,0.40822908267145974,0.002020329342922196,2.840712702983292,0.4781761563402445
,Max computation time [s],-,3.54261619981844,0.002985900267958641,23.351616900064982,6.834205699735321
Scenario 4,Total time spent [veh·h],1320.3538511525512,1308.2834206547845,1316.9118442309377,1273.6372974821024,1293.602520897351
,Total waiting time [veh·h],228.70165522253575,222.32536753228433,259.8704637134855,197.1428913760255,222.1235984406913
,Minimum speed [km/h],15.20414218262987,15.127419682849112,18.74155806047105,15.917033480818693,15.373354720303265
,Constraint violation [%],28.902957961266235,14.436443967907413,33.06780701457375,0.0,0.0
,Mean computation time [s],-,0.46465500466137505,0.0023742663313169035,3.197415741321941,0.4453935093378337
,Max computation time [s],-,9.031612700084224,0.00474189966917038,23.847853300045244,4.782039399840869
Scenario 5,Total time spent [veh·h],1317.7362678710404,1305.0497576434482,1318.820826432922,1269.0966448051622,1310.8044596149748
,Total waiting time [veh·h],226.30730852246182,219.20321344324898,225.6720821282252,193.8014807091526,220.7441333117087
,Minimum speed [km/h],15.204123766205754,15.105910900853985,15.204123783589935,15.914298814874044,15.8269180470414
,Constraint violation [%],27.651720371892406,13.413660533516268,13.8204635455757,0.0,1.2921390216217468
,Mean computation time [s],-,0.4217877906584181,0.002138418984444191,3.2287326139844175,0.4333789333022044
,Max computation time [s],-,3.565726999891922,0.00373919983394444,29.807016599923372,4.545755300088786
Scenario 6,Total time spent [veh·h],1315.190928069717,1305.3069809908827,1333.440318459623,1267.7081692505328,1293.5664413727106
,Total waiting time [veh·h],224.00768323750975,219.34218753508964,265.0506536653535,191.72795306702068,215.02687772681492
,Minimum speed [km/h],15.194785881128258,14.852577289646149,12.82585367775872,15.97344552370237,14.778779475774005
,Constraint violation [%],26.739595816674615,13.621509160619734,9.885012646166542,0.0,8.365392276254937
,Mean computation time [s],-,0.4519432576730226,0.0022046829923056065,3.1789092063352773,0.730157823972404
,Max computation time [s],-,8.009333199704997,0.0033133000833913684,30.071654800209217,8.958348999614827
