Scenarios,Performance,No control,Standalone ALINEA,Standalone MPC,Standalone DRL,HF MPC,MPC-DRL framework
Scenario 1,Total time spent [veh·h],1428.3993945004736,1188.9220599791392,1428.8948738680626,1377.411234922994,1398.5804757700287,1405.264005176638
,Total waiting time [veh·h],340.9618648522187,394.5655218115427,341.83975019424315,321.99068096219077,317.5424668432877,350.89764104805374
,Minimum speed [km/h],12.625367120658488,31.098400789191466,12.456126508483072,12.148370735943203,13.976495786076729,13.28152219366549
,Constraint violation [%],84.35961268896374,330.7498194102069,80.19865774134482,48.04462137588337,62.24811009854145,28.961318466029304
,Mean computation time [s],-,0.00012248698699598512,10.671131301011192,0.002102849024425571,55.12771100902503,0.4096885023463983
,Max computation time [s],-,0.0002204999327659607,78.03728059993591,0.004225099692121148,467.4626219999045,5.653247199719772
Scenario 2,Total time spent [veh·h],1425.5824556648063,1185.8145884506685,1426.110496189177,1376.234416470831,1395.8332959124002,1419.3078651364465
,Total waiting time [veh·h],338.30268996306097,391.52624727552256,339.215052206501,313.60857604526717,314.9509894559143,333.83083217557567
,Minimum speed [km/h],12.61067465281083,30.791221037993388,12.490437257374797,12.11020140345624,14.023745172102323,14.519575940980934
,Constraint violation [%],83.43585208174633,331.92432613932135,78.99340210619026,41.272744908640526,61.37343601088277,20.159724901968197
,Mean computation time [s],-,0.00010894999684145053,7.846568027330409,0.0018997936909242222,52.148791421986346,0.44702760899672284
,Max computation time [s],-,0.00017930020112544298,58.78274090017658,0.0028649000450968742,355.60685660038143,8.447134800371714
Scenario 3,Total time spent [veh·h],1422.8591007391758,1180.5542011875355,1423.4290037639494,1415.0942744839554,1393.3238660146403,1418.2356134090678
,Total waiting time [veh·h],335.75481481566965,387.47913959728226,336.5964219846743,339.44526873117815,312.70590740892186,335.502605834583
,Minimum speed [km/h],12.597931271942517,31.426831240526305,12.467587188206096,12.17260789754901,14.02023369708525,12.519944480553082
,Constraint violation [%],82.57558046105093,328.9249659019051,78.1523929009052,74.69179145322641,60.59308914238875,39.33017127052388
,Mean computation time [s],-,0.00010732299376589557,7.832806520338248,0.001937166036805138,49.31478567564938,0.36572081265660616
,Max computation time [s],-,0.0001949999714270234,57.28276649990585,0.0032435004832223058,367.0679198001744,2.5024958004942164
Scenario 4,Total time spent [veh·h],1320.3538511525512,1089.6246427788353,1313.7874440685744,1321.8518278937222,1275.0498946977345,1319.2662525668375
,Total waiting time [veh·h],228.70165522253575,294.08192770023675,225.47695183198144,247.66236528889817,196.75260927840046,331.0175401843573
,Minimum speed [km/h],15.20414218262987,30.953398673417162,15.17994357638857,20.850737147657195,16.348079360561133,22.413075466515544
,Constraint violation [%],20.769197735103454,220.0996626276065,14.233880066993516,12.853736241832575,0.0,154.05680558035007
,Mean computation time [s],-,0.00010887933080084623,8.637685174326956,0.0019518339859011275,73.36284873701243,0.6672979293546328
,Max computation time [s],-,0.0001779003068804741,81.22247219982091,0.0028866995126008987,564.1965565000428,10.670293599716388
Scenario 5,Total time spent [veh·h],1317.7362678710404,1086.4462452959247,1310.6070066366265,1306.0689257662912,1271.6718349864077,1316.9326807484176
,Total waiting time [veh·h],226.30730852246182,291.1602926260007,222.6134922993861,213.7387880164319,194.2820687757291,227.08060694902716
,Minimum speed [km/h],15.204123766205754,31.394013312888365,15.182851026218694,15.204127452796717,16.321601442681278,15.333472197928899
,Constraint violation [%],19.940625717638294,221.93786700660627,13.083257812968824,19.508411061993336,0.0,20.155326892019485
,Mean computation time [s],-,0.0001421636377926916,11.706562430666915,0.0021832246927078807,68.18005673297371,0.464448008693289
,Max computation time [s],-,0.00023809983395040035,265.2763427000027,0.0031214996706694365,509.2138111998793,7.125905000255443
Scenario 6,Total time spent [veh·h],1315.190928069717,1083.1697574845616,1304.7365702485056,1326.0054633341863,1269.7570753903024,1315.2488404464104
,Total waiting time [veh·h],224.00768323750975,289.0067738123004,218.0491479598457,258.10612658630964,192.42172497646132,224.77596110057985
,Minimum speed [km/h],15.194785881128258,31.047015613202717,15.234766546184611,17.00190131364524,16.463922748532923,16.61243218884382
,Constraint violation [%],19.131564427105214,219.91671912795445,12.319187852971679,91.5037879118449,0.0,10.574333872115927
,Mean computation time [s],-,0.00013628402220395701,13.013333814322248,0.0021859623301619044,66.55738019332988,0.4554087916854769
,Max computation time [s],-,0.00023920030798763037,249.6192103001522,0.003132099867798388,440.30700180027634,7.881914799800143
