Scenarios,Performance,No control,Standalone ALINEA,Standalone MPC,Standalone DRL,HF MPC,MPC-DRL framework
Scenario 1,Total time spent [veh·h],1428.40 ± 9.04 (p=0.000),1188.92 ± 8.05 (p=0.000),1428.89 ± 9.07 (p=0.000),1377.41 ± 9.47 (p=0.000),1398.58 ± 8.90 (p=0.050),1405.26 ± 14.94
,Total waiting time [veh·h],340.96 ± 6.50 (p=0.001),394.57 ± 5.91 (p=0.000),341.84 ± 6.53 (p=0.001),321.99 ± 6.59 (p=0.000),317.54 ± 6.39 (p=0.000),350.90 ± 10.20
,Minimum speed [km/h],12.63 ± 0.06 (p=0.000),31.10 ± 0.72 (p=0.000),12.46 ± 0.12 (p=0.000),12.15 ± 0.03 (p=0.000),13.98 ± 0.05 (p=0.000),13.28 ± 0.05
,Constraint violation [%],84.36 ± 2.33 (p=0.000),330.75 ± 5.66 (p=0.000),80.20 ± 2.42 (p=0.000),48.04 ± 3.25 (p=0.000),62.25 ± 2.30 (p=0.000),28.96 ± 1.17
,Mean computation time [s],-,0.00 ± 0.00 (p=0.000),10.67 ± 0.39 (p=0.000),0.00 ± 0.00 (p=0.000),55.13 ± 7.33 (p=0.000),0.41 ± 0.06
,Max computation time [s],-,0.00 ± 0.00 (p=0.000),76.14 ± 1.69 (p=0.000),0.00 ± 0.00 (p=0.000),343.49 ± 60.26 (p=0.000),3.27 ± 1.63
Scenario 2,Total time spent [veh·h],1425.58 ± 18.06 (p=0.000),1185.81 ± 17.12 (p=0.000),1426.11 ± 18.18 (p=0.000),1376.23 ± 18.46 (p=0.000),1395.83 ± 18.59 (p=0.000),1419.31 ± 18.78
,Total waiting time [veh·h],338.30 ± 12.97 (p=0.000),391.53 ± 13.84 (p=0.000),339.22 ± 13.08 (p=0.000),313.61 ± 11.97 (p=0.000),314.95 ± 13.35 (p=0.000),333.83 ± 12.88
,Minimum speed [km/h],12.61 ± 0.11 (p=0.000),30.79 ± 0.89 (p=0.000),12.49 ± 0.17 (p=0.000),12.11 ± 0.05 (p=0.000),14.02 ± 0.14 (p=0.000),14.52 ± 0.10
,Constraint violation [%],83.44 ± 4.61 (p=0.000),331.92 ± 12.02 (p=0.000),78.99 ± 4.83 (p=0.000),41.27 ± 6.66 (p=0.000),61.37 ± 4.80 (p=0.000),20.16 ± 3.09
,Mean computation time [s],-,0.00 ± 0.00 (p=0.000),7.85 ± 0.22 (p=0.000),0.00 ± 0.00 (p=0.000),52.15 ± 2.16 (p=0.000),0.45 ± 0.11
,Max computation time [s],-,0.00 ± 0.00 (p=0.001),57.02 ± 0.62 (p=0.000),0.00 ± 0.00 (p=0.001),328.02 ± 22.28 (p=0.000),3.65 ± 2.23
Scenario 3,Total time spent [veh·h],1422.86 ± 27.06 (p=0.000),1180.55 ± 24.48 (p=0.000),1423.43 ± 27.17 (p=0.000),1415.09 ± 27.78 (p=0.006),1393.32 ± 27.81 (p=0.000),1418.24 ± 27.33
,Total waiting time [veh·h],335.75 ± 19.40 (p=0.630),387.48 ± 19.67 (p=0.000),336.60 ± 19.44 (p=0.035),339.45 ± 18.58 (p=0.001),312.71 ± 19.91 (p=0.000),335.50 ± 19.48
,Minimum speed [km/h],12.60 ± 0.17 (p=0.218),31.43 ± 1.23 (p=0.000),12.47 ± 0.23 (p=0.495),12.17 ± 0.11 (p=0.000),14.02 ± 0.17 (p=0.000),12.52 ± 0.09
,Constraint violation [%],82.58 ± 6.87 (p=0.000),328.92 ± 11.40 (p=0.000),78.15 ± 6.87 (p=0.000),74.69 ± 15.09 (p=0.000),60.59 ± 7.22 (p=0.000),39.33 ± 6.19
,Mean computation time [s],-,0.00 ± 0.00 (p=0.000),7.83 ± 0.26 (p=0.000),0.00 ± 0.00 (p=0.000),49.31 ± 4.14 (p=0.000),0.37 ± 0.04
,Max computation time [s],-,0.00 ± 0.00 (p=0.000),56.84 ± 0.23 (p=0.000),0.00 ± 0.00 (p=0.000),331.59 ± 27.62 (p=0.000),2.04 ± 0.19
Scenario 4,Total time spent [veh·h],1320.35 ± 9.67 (p=0.942),1089.62 ± 7.51 (p=0.000),1313.79 ± 14.41 (p=0.719),1321.85 ± 9.03 (p=0.864),1275.05 ± 9.97 (p=0.015),1319.27 ± 46.63
,Total waiting time [veh·h],228.70 ± 6.63 (p=0.005),294.08 ± 5.77 (p=0.208),225.48 ± 10.23 (p=0.004),247.66 ± 6.69 (p=0.014),196.75 ± 6.58 (p=0.001),331.02 ± 85.95
,Minimum speed [km/h],15.20 ± 0.05 (p=0.000),30.95 ± 0.84 (p=0.000),15.18 ± 0.39 (p=0.000),20.85 ± 0.02 (p=0.002),16.35 ± 0.33 (p=0.000),22.41 ± 1.15
,Constraint violation [%],20.77 ± 2.48 (p=0.000),220.10 ± 5.44 (p=0.001),14.23 ± 3.51 (p=0.000),12.85 ± 2.09 (p=0.000),0.00 ± 0.00 (p=0.000),154.06 ± 42.69
,Mean computation time [s],-,0.00 ± 0.00 (p=0.000),8.64 ± 2.08 (p=0.000),0.00 ± 0.00 (p=0.000),73.36 ± 5.73 (p=0.000),0.67 ± 0.19
,Max computation time [s],-,0.00 ± 0.00 (p=0.000),62.94 ± 6.43 (p=0.000),0.00 ± 0.00 (p=0.000),467.46 ± 52.71 (p=0.000),7.31 ± 1.94
Scenario 5,Total time spent [veh·h],1317.74 ± 19.33 (p=0.702),1086.45 ± 14.91 (p=0.000),1310.61 ± 28.66 (p=0.004),1306.07 ± 18.57 (p=0.001),1271.67 ± 20.33 (p=0.000),1316.93 ± 24.13
,Total waiting time [veh·h],226.31 ± 13.23 (p=0.645),291.16 ± 13.04 (p=0.000),222.61 ± 19.66 (p=0.001),213.74 ± 13.29 (p=0.000),194.28 ± 13.73 (p=0.000),227.08 ± 17.28
,Minimum speed [km/h],15.20 ± 0.09 (p=0.191),31.39 ± 0.88 (p=0.000),15.18 ± 0.49 (p=0.035),15.20 ± 0.09 (p=0.191),16.32 ± 0.28 (p=0.000),15.33 ± 0.31
,Constraint violation [%],19.94 ± 4.92 (p=0.781),221.94 ± 8.69 (p=0.000),13.08 ± 5.52 (p=0.000),19.51 ± 9.41 (p=0.712),0.00 ± 0.00 (p=0.000),20.16 ± 6.80
,Mean computation time [s],-,0.00 ± 0.00 (p=0.000),11.71 ± 3.24 (p=0.000),0.00 ± 0.00 (p=0.000),68.18 ± 4.72 (p=0.000),0.46 ± 0.10
,Max computation time [s],-,0.00 ± 0.00 (p=0.000),99.30 ± 58.32 (p=0.000),0.00 ± 0.00 (p=0.000),429.08 ± 42.89 (p=0.000),3.52 ± 1.79
Scenario 6,Total time spent [veh·h],1315.19 ± 28.97 (p=0.983),1083.17 ± 21.15 (p=0.000),1304.74 ± 38.99 (p=0.012),1326.01 ± 29.90 (p=0.006),1269.76 ± 29.95 (p=0.000),1315.25 ± 35.24
,Total waiting time [veh·h],224.01 ± 19.77 (p=0.723),289.01 ± 18.13 (p=0.000),218.05 ± 26.84 (p=0.026),258.11 ± 17.64 (p=0.000),192.42 ± 19.83 (p=0.000),224.78 ± 24.81
,Minimum speed [km/h],15.19 ± 0.13 (p=0.000),31.05 ± 1.18 (p=0.000),15.23 ± 0.68 (p=0.000),17.00 ± 0.34 (p=0.008),16.46 ± 0.36 (p=0.124),16.61 ± 0.22
,Constraint violation [%],19.13 ± 7.36 (p=0.000),219.92 ± 8.74 (p=0.000),12.32 ± 7.06 (p=0.088),91.50 ± 16.37 (p=0.000),0.00 ± 0.00 (p=0.000),10.57 ± 5.58
,Mean computation time [s],-,0.00 ± 0.00 (p=0.000),13.01 ± 7.09 (p=0.000),0.00 ± 0.00 (p=0.000),66.56 ± 3.66 (p=0.000),0.46 ± 0.10
,Max computation time [s],-,0.00 ± 0.00 (p=0.000),101.38 ± 56.67 (p=0.000),0.00 ± 0.00 (p=0.000),411.20 ± 20.87 (p=0.000),3.27 ± 1.69
