DDPG 1-step TD | Demand 1 | Low: 100%|██████████████████████████████| 3000/3000 [6:18:41<00:00,  7.51s/it]
DDPG 1-step TD | Demand 1 | Medium: 100%|██████████████████████████████| 3000/3000 [6:15:41<00:00,  7.51s/it]
DDPG 1-step TD | Demand 1 | High: 100%|████████████████████████████████| 3000/3000 [6:41:58<00:00,  8.04s/it]
DDPG 1-step TD | Demand 2 | Low: 100%|█████████████████████████████████████████████████████████████| 3000/3000 [9:23:02<00:00, 11.26s/it]
DDPG 1-step TD | Demand 2 | Medium: 100%|██████████████████████████████████████████████████████████| 3000/3000 [9:20:11<00:00, 11.20s/it]
DDPG 1-step TD | Demand 2 | High: 100%|████████████████████████████████████████████████████████████| 3000/3000 [9:33:07<00:00, 11.46s/it]

DDPG 10-step TD | Demand 1 | Low: 100%|███████████████████████████████████████████████████████████| 3000/3000 [10:03:10<00:00, 12.06s/it] 
DDPG 10-step TD | Demand 1 | Medium: 100%|████████████████████████████████████████████████████████| 3000/3000 [10:00:47<00:00, 12.02s/it]
DDPG 10-step TD | Demand 1 | High: 100%|██████████████████████████████████████████████████████████| 3000/3000 [10:11:16<00:00, 12.23s/it]
DDPG 10-step TD | Demand 2 | Low: 100%|██████████████████████████████████████████████████████████| 3000/3000 [11:11:47<00:00, 11.23s/it]
DDPG 10-step TD | Demand 2 | Medium: 100%|██████████████████████████████████████████████████████████| 3000/3000 [10:58:26<00:00, 11.57s/it]
DDPG 10-step TD | Demand 2 | High: 100%|██████████████████████████████████████████████████████████| 3000/3000 [11:02:12<00:00, 11.55s/it]

MPC-DRL 1-step TD | Demand 1 | Low: 100%|███████████████████████████████████████| 3000/3000 [15:36:42<00:00, 18.73s/it]
MPC-DRL 1-step TD | Demand 1 | Medium: 100%|████████████████████████████████████| 3000/3000 [21:32:24<00:00, 25.85s/it]
MPC-DRL 1-step TD | Demand 1 | High: 100%|██████████████████████████████████████| 3000/3000 [18:36:41<00:00, 22.33s/it]


MPC-DRL 10-step TD | Demand 1 | Low: 100%|██████████████████████████████████████| 3000/3000 [18:17:21<00:00, 21.95s/it]
MPC-DRL 10-step TD | Demand 1 | Medium: 100%|███████████████████████████████████| 3000/3000 [17:53:03<00:00, 21.46s/it]
MPC-DRL 10-step TD | Demand 1 | Medium: 100%|███████████████████████████████████| 3000/3000 [17:53:03<00:00, 21.46s/it]
MPC-DRL 10-step TD | Demand 2 | Low: 100%|██████████████████████████████████████| 3000/3000 [18:24:33<00:00, 22.09s/it]
MPC-DRL 10-step TD | Demand 2 | Medium: 100%|███████████████████████████████████| 3000/3000 [20:59:05<00:00, 25.18s/it]
MPC-DRL 10-step TD | Demand 2 | High: 100%|█████████████████████████████████████| 3000/3000 [22:30:50<00:00, 27.02s/it]
